111.823	805754.00	0
12	10149.10	0
12	22869.10	0
6	2858.64	0
15	44983.40	0
24	27191.40	0
35	51526.00	1369.5
15	5432.61	270.14
11.9795	22918.00	0
5	605.98	0
35	29171.00	0
115	11324.60	460.3
8	2808.09	315.59
9	18894.40	0
126	303395.00	0
126	303395.00	0
126	303395.00	0
126	303395.00	0
7	14568.90	0
26.7789	26296.80	5049.2
26	22926.00	472.4
3.3	118025.00	0
27	20139.10	6858
13	11229.30	0
14	4755.42	0
28	48116.30	0
36.8	65364.20	0
15	5529.73	1016.99
48.8929	18344	708.3
9	10721.80	163.7
8	3435.63	59.7
9.78235	2080.84	1284.19
118.125	23373.30	0
59.8	4503.23	356.69
59.8	4503.23	356.69
0.800003	645.24	0
8	9321.12	0
20	6292.49	0
40	41127.10	654.2
40	41127.10	654.2
60.374	9993.21	1128.99
74.9997	81054.60	1071.2
12	11289.50	63.3
55.5	5960.22	0
17	5233.79	0
12	11530.80	300
20	6580.26	4408.94
10	27614.9	0
8	1770.29	165.98
30.3632	14391.8	211.6
33	36908.00	9857.2
50	24902.40	0
0.800003	645.24	0
12	20237.90	0
7	1358.54	359.01
119.591	584277.00	0
3.48929	24864.70	0
15.7163	43579	0
20	10962.00	0
5.8	2176.73	0
3.8	13780.70	0
5.7	46510.00	0
2	4243.47	0
2	4243.47	0
2	4243.47	0
2	4243.47	0
4	617.93	0
4	617.93	0
71.1868	143718.00	1380
33	66999.40	3308.4
16	12124.50	636.9
10.5	5907.37	0
5.5	6588.15	0
19.0721	10440.6	0
10.5	6302.31	0
8	40489.30	60.5
25	8127.39	0
18	11643.90	0
18	11643.90	0
14	10522.70	0
14	10522.70	0
17.351	9876.62	1467.68
17.351	9876.62	1467.68
24.6693	32536.60	1808.3
38.4611	48879.70	2576.5
26.118	22530.00	1548.5
30.082	22524.90	1572.4
116.039	29516.40	3794.6
17	13206.50	0
17	13206.50	0
53.975	88482.50	0
20.0689	7837.86	306.04
13.4896	191630.00	0
9.4	1861.1	1549.16
19.9999	122533.00	0
12	92893.90	663.1
95	120934.00	1962
22.8327	27030.90	50.3
110	1684110.00	0
49.9137	7239.88	0
